,feature1,feature2,sim.score,z.stat,p.value,q.value
1,k__Archaea;p__Crenarchaeota,k__Archaea;p__Euryarchaeota,NA,NA,NA,NA
2,k__Archaea;p__Crenarchaeota,k__Bacteria;p__AD3,NA,NA,NA,NA
3,k__Archaea;p__Crenarchaeota,k__Bacteria;p__Acidobacteria,0.837944664,5.003834547,5.62E-07,6.51E-05
4,k__Archaea;p__Crenarchaeota,k__Bacteria;p__Actinobacteria,0.415019763,1.784351271,0.074366604,0.820709433
5,k__Archaea;p__Crenarchaeota,k__Bacteria;p__BRC1,0.760279696,4.508370055,6.53E-06,0.000378501
6,k__Archaea;p__Crenarchaeota,k__Bacteria;p__Bacteroidetes,-0.541501976,-2.794333711,0.005200678,0.084089842
7,k__Archaea;p__Crenarchaeota,k__Bacteria;p__CCM11b,NA,NA,NA,NA
8,k__Archaea;p__Crenarchaeota,k__Bacteria;p__Chlamydiae,0.48449607,2.575721623,0.010003114,0.147975361
9,k__Archaea;p__Crenarchaeota,k__Bacteria;p__Chlorobi,0.710316145,3.929216216,8.52E-05,0.002693315
10,k__Archaea;p__Crenarchaeota,k__Bacteria;p__Chloroflexi,0.711462451,3.817727669,0.000134686,0.003822169
11,k__Archaea;p__Crenarchaeota,k__Bacteria;p__Cyanobacteria,0.255928854,1.052676393,0.292489332,2.435429602
12,k__Archaea;p__Crenarchaeota,k__Bacteria;p__Elusimicrobia,NA,NA,NA,NA
13,k__Archaea;p__Crenarchaeota,k__Bacteria;p__Firmicutes,0.804347826,4.522297389,6.12E-06,0.000369834
14,k__Archaea;p__Crenarchaeota,k__Bacteria;p__Fusobacteria,NA,NA,NA,NA
15,k__Archaea;p__Crenarchaeota,k__Bacteria;p__Gemmatimonadetes,0.761857708,4.276377907,1.90E-05,0.000880481
16,k__Archaea;p__Crenarchaeota,k__Bacteria;p__Marine group A,-0.126362499,-0.668332146,0.503921598,3.70751733
17,k__Archaea;p__Crenarchaeota,k__Bacteria;p__NKB19,NA,NA,NA,NA
18,k__Archaea;p__Crenarchaeota,k__Bacteria;p__Nitrospirae,0.758298512,4.194267646,2.74E-05,0.001028826
19,k__Archaea;p__Crenarchaeota,k__Bacteria;p__OP10,0.337708581,1.545402135,0.122249024,1.197123836
20,k__Archaea;p__Crenarchaeota,k__Bacteria;p__OP11,NA,NA,NA,NA
21,k__Archaea;p__Crenarchaeota,k__Bacteria;p__OP3,NA,NA,NA,NA
22,k__Archaea;p__Crenarchaeota,k__Bacteria;p__Planctomycetes,0.838932806,4.96950937,6.71E-07,7.18E-05
23,k__Archaea;p__Crenarchaeota,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,-0.252964427,-1.178229615,0.238705079,2.074549006
24,k__Archaea;p__Crenarchaeota,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,-0.62944664,-3.044148168,0.002333402,0.042693127
25,k__Archaea;p__Crenarchaeota,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria,0.753952569,4.107984801,3.99E-05,0.001387498
26,k__Archaea;p__Crenarchaeota,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,-0.467391304,-2.299264603,0.021489919,0.281910288
27,k__Archaea;p__Crenarchaeota,k__Bacteria;p__SC3,NA,NA,NA,NA
28,k__Archaea;p__Crenarchaeota,k__Bacteria;p__SC4,NA,NA,NA,NA
29,k__Archaea;p__Crenarchaeota,k__Bacteria;p__SM2F11,NA,NA,NA,NA
30,k__Archaea;p__Crenarchaeota,k__Bacteria;p__SPAM,NA,NA,NA,NA
31,k__Archaea;p__Crenarchaeota,k__Bacteria;p__Spirochaetes,NA,NA,NA,NA
32,k__Archaea;p__Crenarchaeota,k__Bacteria;p__TG3,NA,NA,NA,NA
33,k__Archaea;p__Crenarchaeota,k__Bacteria;p__TM7,NA,NA,NA,NA
34,k__Archaea;p__Crenarchaeota,k__Bacteria;p__Tenericutes,NA,NA,NA,NA
35,k__Archaea;p__Crenarchaeota,k__Bacteria;p__Thermi,0.489514562,2.556736925,0.010565909,0.15465547
36,k__Archaea;p__Crenarchaeota,k__Bacteria;p__Verrucomicrobia,0.840909091,5.152573889,2.57E-07,3.97E-05
37,k__Archaea;p__Crenarchaeota,k__Bacteria;p__WPS-2,0.568115509,2.962219407,0.003054301,0.053760921
38,k__Archaea;p__Crenarchaeota,k__Bacteria;p__WS3,NA,NA,NA,NA
39,k__Archaea;p__Euryarchaeota,k__Bacteria;p__AD3,NA,NA,NA,NA
40,k__Archaea;p__Euryarchaeota,k__Bacteria;p__Acidobacteria,NA,NA,NA,NA
