Taxon	SKB8.640193	SKD9.640182	SKB1.640202	SKB6.640176	SKM3.640197	SKM1.640183	SKM7.640188	SKM4.640180	SKD6.640190	SKD3.640198	SKB2.640194	SKM5.640177	SKB3.640195	SKB5.640181	SKD2.640178	SKM8.640201	SKM2.640199	SKB4.640189	SKD7.640191	SKB7.640196	SKB9.640200	SKD8.640184	SKM9.640192	SKM6.640187	SKD4.640185	SKD1.640179
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__Cenarchaeaceae;g__	0.0	0.0	0.0	0.0	0.0	0.0	5.14615067929e-05	0.0	0.0	0.0	9.5785440613e-05	0.0	0.0	0.0	0.0	0.0	0.000141723356009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__Cenarchaeaceae;g__Nitrosopumilus	0.0	0.0	0.0	0.000106033294454	0.0	0.0	0.0	0.0	0.0	0.0	0.000191570881226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.19403474271e-05	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__SAGMA-X;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.85707244948e-05	0.0	0.0	0.0	0.0
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus Nitrososphaera	0.000512076470086	0.00054684651841	0.00511175704119	0.00434736507263	0.0057227247554	0.00539757767246	0.00036023054755	0.00386871334082	0.0033576362241	0.00376293508937	0.00584291187739	0.00584138395866	0.00557825267128	0.0049975621648	0.00425363537442	0.000347826086957	0.00354308390023	0.00471826513021	0.00151712180321	0.000434933890049	0.000819403474271	0.000788565795959	0.000367647058824	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.07358678886e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanocellales;f__Methanocellaceae;g__Methanocella	0.0	0.0	0.0	0.000106033294454	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f__Marine group II;g__	0.0	0.0	0.00010023053022	0.0	0.0	0.0	0.0	0.000124797204543	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f__Marine group III;g__	8.53460783477e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__AD3;c__ABS-6;o__;f__;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000141723356009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__;o__;f__;g__	0.0	0.0	0.000601383181317	0.0	0.000553812073103	0.000526592943655	0.0	0.0	0.000143898695318	0.0	0.000191570881226	0.000337002920692	0.00039283469516	0.0	9.89217528935e-05	0.0	0.000425170068027	0.0	0.000108365843086	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__;o__;f__Koribacteraceae;g__	0.0	0.0	0.0	0.0	9.23020121839e-05	0.0	0.0	0.0	4.79662317728e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__;o__;f__Koribacteraceae;g__Candidatus Koribacter	0.0	0.0	0.000701613711537	0.000318099883363	0.000369208048735	0.000263296471827	5.14615067929e-05	0.000249594409085	0.000287797390637	0.000598648764218	0.000574712643678	0.000224668613795	0.000864236329353	0.000121891760117	0.000395687011574	0.0	0.000283446712018	0.000362943471554	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
