Taxon	SKB8.640193	SKD9.640182	SKB1.640202	SKB6.640176	SKM3.640197	SKM1.640183	SKM7.640188	SKM4.640180	SKD6.640190	SKD3.640198	SKB2.640194	SKM5.640177	SKB3.640195	SKB5.640181	SKD2.640178	SKM8.640201	SKM2.640199	SKB4.640189	SKD7.640191	SKB7.640196	SKB9.640200	SKD8.640184	SKM9.640192	SKM6.640187	SKD4.640185	SKD1.640179
k__Archaea;p__Crenarchaeota	0.000512076470086	0.00054684651841	0.00511175704119	0.00445339836709	0.0057227247554	0.00539757767246	0.000411692054343	0.00386871334082	0.0033576362241	0.00376293508937	0.00613026819923	0.00584138395866	0.00557825267128	0.0049975621648	0.00425363537442	0.000347826086957	0.00368480725624	0.00471826513021	0.00151712180321	0.000434933890049	0.000901343821698	0.000887136520453	0.000367647058824	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota	8.53460783477e-05	0.0	0.00010023053022	0.000106033294454	0.0	0.0	0.0	0.000124797204543	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.07358678886e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__AD3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000141723356009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria	0.00495007254417	0.0116660590594	0.0448030470081	0.0215247587743	0.0513199187742	0.0389678778304	0.00771922601894	0.033570448022	0.0341039907905	0.0317283845035	0.042816091954	0.0416760278589	0.0424261470773	0.0304729400293	0.0273024037986	0.00950724637681	0.0430839002268	0.0288540059886	0.0164716081491	0.00478427279054	0.00770239265814	0.00985707244948	0.00507352941176	0.0	0.0	1.0
k__Bacteria;p__Actinobacteria	0.0647776734659	0.107728764127	0.0808860378871	0.193828862263	0.0816872807827	0.111242759347	0.0437937422808	0.0812429801572	0.15339600921	0.118019327803	0.101436781609	0.0909907885868	0.0788812067882	0.105558264261	0.130279948561	0.0380289855072	0.109410430839	0.120950911895	0.123970524491	0.0512352122477	0.0476892822026	0.0909807787087	0.0324264705882	0.0	0.0	0.0
k__Bacteria;p__BRC1	0.0	0.00054684651841	0.000902074771976	0.00106033294454	0.00166143621931	0.00157977883096	0.000154384520379	0.000748783227256	0.000383729854183	0.000855212520311	0.000766283524904	0.000561671534487	0.000707102451288	0.000487567040468	0.000692452270254	0.0	0.000708616780045	0.000362943471554	0.000433463372345	0.0	8.19403474271e-05	0.0	0.000147058823529	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes	0.0778356234531	0.156580386438	0.0769770472086	0.0678613084509	0.10522429389	0.0750394944708	0.146459448333	0.109821539998	0.102216039908	0.114598477722	0.0955938697318	0.131992810604	0.10142991829	0.0761823500731	0.0938767434959	0.17031884058	0.0817743764172	0.0925505852463	0.322063285652	0.140831593598	0.186496230744	0.286347954657	0.128235294118	0.0	0.0	0.0
k__Bacteria;p__CCM11b	0.0	0.0	0.00010023053022	0.0	0.000184604024368	0.0	0.0	0.000249594409085	0.0	8.55212520311e-05	0.000191570881226	0.000112334306897	0.0	0.0	0.0	0.0	0.000141723356009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Chlamydiae	0.0	0.0	0.000200461060439	0.000106033294454	0.000276906036552	0.0	0.0	0.000124797204543	0.0	8.55212520311e-05	9.5785440613e-05	0.0	0.000157133878064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.85707244948e-05	0.0	0.0	0.0	0.0
k__Bacteria;p__Chlorobi	0.0	0.0	0.00010023053022	0.0	0.000553812073103	0.000526592943655	0.0	0.000124797204543	0.000287797390637	0.0	0.000191570881226	0.000337002920692	0.000314267756128	0.0	9.89217528935e-05	0.0	0.000141723356009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Chloroflexi	0.00170692156695	0.00328107911046	0.00892051718954	0.00678613084509	0.0110762414621	0.0107951553449	0.00319061342116	0.0076126294771	0.0107924021489	0.00889421021124	0.00871647509579	0.00966075039317	0.00974230043997	0.00743539736714	0.00880403600752	0.00231884057971	0.0114795918367	0.00889211505308	0.00151712180321	0.000956854558107	0.00196656833825	0.00177427304091	0.00154411764706	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria	0.000682768626782	0.00255195041925	0.000902074771976	0.000424133177818	0.000830718109655	0.000658241179568	0.000514615067929	0.000124797204543	0.000815425940138	0.000598648764218	0.000766283524904	0.00134801168277	0.000707102451288	0.000365675280351	0.000692452270254	0.0	0.000566893424036	0.00127030215044	0.00119202427395	0.000434933890049	0.00229432972796	0.00147856086742	0.000147058823529	0.0	0.0	0.0
k__Bacteria;p__Elusimicrobia	0.0	0.0	0.0	0.0	9.23020121839e-05	0.000131648235914	0.0	0.000124797204543	0.000287797390637	0.0	0.000478927203065	0.0	7.85669390321e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes	0.00853460783477	0.0331753554502	0.20086198256	0.232212914855	0.219678788998	0.262111637704	0.0065356113627	0.117059777861	0.1875	0.207389036175	0.210536398467	0.114805661649	0.240807668133	0.259019990249	0.26461568899	0.00695652173913	0.196286848073	0.256147355049	0.0257910706545	0.00774182324287	0.0222058341527	0.0124199112863	0.00573529411765	0.0	0.0	0.0
k__Bacteria;p__Fusobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.5785440613e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Gemmatimonadetes	0.00119484509687	0.00182282172803	0.0138318131703	0.00742233061181	0.0131068857301	0.0107951553449	0.00174969123096	0.00898539872707	0.0110801995395	0.0147096553494	0.014846743295	0.013143113907	0.0104494028913	0.00792296440761	0.012068453853	0.00139130434783	0.0147392290249	0.00780328463842	0.00184221933247	0.000608907446068	0.00114716486398	0.000887136520453	0.000882352941176	0.0	1.0	0.0
k__Bacteria;p__Marine group A	0.0	0.000182282172803	0.0	0.0	0.000184604024368	0.0	5.14615067929e-05	0.0	4.79662317728e-05	0.000171042504062	0.0	0.000112334306897	7.85669390321e-05	0.0	0.0	0.0	0.000141723356009	0.0	0.0	8.69867780097e-05	0.000163880694854	0.0	0.000147058823529	0.0	0.0	0.0
k__Bacteria;p__NKB19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.79662317728e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Nitrospirae	8.53460783477e-05	0.000364564345607	0.00170391901373	0.00169653271127	0.00313826841425	0.000526592943655	0.0	0.00112317484088	0.00110322333078	0.00153938253656	0.00134099616858	0.000786340148281	0.00274984286612	0.00134080936129	0.00178059155208	0.0	0.000992063492063	0.00172398148988	0.0	8.69867780097e-05	0.0	0.00019714144899	0.000147058823529	0.0	0.0	0.0
k__Bacteria;p__OP10	0.000170692156695	0.0	0.000300691590659	0.000212066588909	0.000369208048735	0.0	0.0	0.0	0.000191864927091	8.55212520311e-05	9.5785440613e-05	0.000449337227589	7.85669390321e-05	0.000121891760117	0.000197843505787	0.000115942028986	0.000141723356009	0.0	0.0	8.69867780097e-05	0.000163880694854	0.0	7.35294117647e-05	0.0	0.0	0.0
k__Bacteria;p__OP11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.79662317728e-05	0.0	9.5785440613e-05	0.0	0.0	0.0	9.89217528935e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__OP3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000141723356009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Planctomycetes	0.00290176666382	0.00236966824645	0.00851959506866	0.0101791962676	0.0110762414621	0.00974196945761	0.00247015232606	0.00599026581805	0.00753069838833	0.00897973146327	0.0116858237548	0.00730172994833	0.00950659962288	0.0102389078498	0.00563853991493	0.00208695652174	0.00977891156463	0.00934579439252	0.00260078023407	0.00252261656228	0.00327761389708	0.00177427304091	0.000661764705882	0.0	0.0	0.0
